Source,Brand,Specialization,Description,Adress,Date,Score,Comment
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",11.04.2023,5,Хорошие роллы  вкусные  доставили вовремя   
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",09.04.2023,5,Отличное большое меню  все очень вкусно
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",05.04.2023,5,Классные суши  все понравилось  вкусно и вовремя   
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",05.04.2023,5,Ролы понравились  привезли быстро. Они оказались вкусные  сделаны аккуратно не разваливаются
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",28.03.2023,5,Филадельфия впорядке  рыба свежая  всё вкусно
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",24.03.2023,5,Отличная доставка. Клиентоориентирована! Всем рекомендую!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",24.03.2023,5,Отличное качество  очень вкусно  самые лучшие роллы в городе! Рекомендую!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",22.03.2023,5,Доставка понравилась  суши очень вкусные    Давно уже такие не попадались  спасибо
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,4,Оперативная доставка
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",19.03.2023,5,Очень вкусные роллы  все эстетично  спасибо ребята за вкуснятину 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",19.03.2023,5,Мне нравятся и другим советую!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Заказ привезли раньше. Очень порадовало. Было 8 марта. Всё очень вкусное. Темпура тёплая как и должно быть. Очень хорошая упаковка. Теперь заказываем только у вас. Процветания вам и хороших клиентов  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Если заказываем роллы  то только тут всегда вкусные и свежие 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",16.02.2023,5,Ей  роллов хотите сытных  Будут! Очень классная доставка  в любой непонятной ситуации заказываем здесь 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",14.02.2023,1,Такое г    !!! Вообще не вкусно!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",11.02.2023,5,Роллы обалденные. Никогда ещё не разочаровали вкусные и свежие. В бюджетных наборах есть роллы с необычными начинками. А вот пицца. Вчера заказали. До этого последний раз брали почти год назад наверное. Тогда была пицца сочная  от бекона жирок так и стекал в коробку. Слюнки от такой пиццы так и текли. А вчера разочаровались. Пицца сухая начинки мало. Пепперони зажарились в чипсы  тесто тонкое и хрустящее. Пиццу больше не берём.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",09.02.2023,2,Заказали из за большого количества хороших отзывов. Пицца не стоит своих денег  тонкая и мало начинки. А в роллах попался волосок. Мелочь  а неприятно.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",03.02.2023,5,самые лучшие. всегда вкусно  спасибо      
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",28.01.2023,5,Вкусные роллы. Дешевле чем у конкурентов Качество роллов отличное Ожидание по доставке среднее  наверное зависит от количества заказов. Рекомендую.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Вкусно было. Спасибо
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.01.2023,5,Заказали пиццу в офис! Отлично  привезли быстро  всё было сытно и вкусно  спасибо! 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.01.2023,5,Перепробовал много ресторанов по доставке суши и роллов  но свой выбор остановил на  Суши Холл . Доставляют всегда быстро и вовремя  бывает правда в субботу и воскресение приходится подождать по дольше  так как в выходные у них много заказов. Готовят вкусно  всегда всё свежее  сделано аккуратно. Мои любимые роллы Филадельфия one с начинкой из сыра обёрнутые сёмгой  рекомендую попробовать. Хотя разные пробовал и все вкусные.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.01.2023,5,Неплохие суши. Начинка свежая  не заветренная. Видно  что делают перед заказом. Рис тоже отличный. Не переваренный  точно не резина. Пока косяков нет  буду покупать у них. Тем более  что ценник приемлимый.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",26.01.2023,5,Периодически заказываю пиццу  пару раз был заказ на роллы. Качество блюд на самом высоком уровне. Цены приемлемые
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.01.2023,5,Буквально спасли положение  спасибо. Нас подвела другая служба доставки  в которой бы изначально заказывали роллы и пиццу для праздника  обратились к вам ваш оператор оперативно принял заказ  а курьер также быстро доставил. Конечно  это не последний заказ. Нам очень понравилось.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.01.2023,5,Если честно  то даже сырный суп с гренками  как здесь у меня не получается. Вроде делаю то же самое  но здесь вкуснее. Они готовят неплохо. Много чего попробовал  выглядит всё аппетитно. Цены как везде  особой разницы с другими заведениями не заметил. Здорово  что свежие продукты используют. Это заметно по вкусу блюда. Нравится скорость подачи и обслуживание.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",22.01.2023,5,В эти выходные у меня собирались друзья. Встреча была не совсем запланированная поэтому решили заказать доставку. В sushi holl понравилось меню  огромный выбор и адекватные цены. Заказали пиццу  Просто Комбо  и суши Филадельфия сет. Привезли очень быстро  буквально через час. Вкусное  свежее и ароматное! Спасибо!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",21.01.2023,5,Заказали впервые. Посоветовали в пивоваровской группе. Забрали самовывозом. Вся семья осталась довольна. Все очень вкусное и свежее. Единственное спутил сырный суп  какой то с кислинкой. Хотела детям дать  но не стала рисковать  сьела сама. Может и должен был быть такой не знаю. Пицца ребенок сказал   что даже краешек мягкий. Котлетки и фри они оценили. Да в общем все очень вкусно!!! И еще не сразу поняли для чего отдельно рис в банке. Видимо в том ям. Мы ж первый раз его заказали  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.01.2023,5,Заказали вчера на сайте sushi holl килограмм роллов. Доставили как всегда свежие  только что приготовленные. Детям и жене очень понравились. Готовят здесь вкусно  да и цена не смущает. Есть скидка при самовывозе. Последнее время заказываем роллы и WOK только здесь. Надеюсь и в будущем не разочаруют.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Очень понравилась доставка суш  привезли вовремя  и все было вкусно   по промокоду дали ролл в подарок  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",16.01.2023,3,Хорошая работа
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Второй раз заказали здесь роллы и будем заказывать снова. Очень вкусно! Спасибо!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",14.01.2023,5,Сегодня заказали суши  привезли в течении указанного времени  все было очень вкусно  девушка курьер приятная в общении  в итоге остались одни положительные впечатления
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",13.01.2023,2,Заказали сегодня в первые роллы  честно не понравились  обещали привезти в 20.40 в итоге привезли в 21.20  курьер девушка ни здравствуйте ни до свидание  а это тоже лицо суши холл.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",13.01.2023,5,Нормальная еда. Есть что перекусить и мне  и ребёнку. У них есть детские наборы  сыну беру именно его. Аппетитно  вкусно. В таком наборе нет острых ингредиентов. Иногда суши заказываю. Едим всей семьёй. Готовят неплохо. Рис хороший  точно не резина. Рыбка вкусная  если заказываю роллы Филадельфия. Цены умеренные  обслуживание хорошее. Я доволен
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Суши Холл   хорошая доставка  готовят вкусно  а доставляют практически всегда быстро. Хороший выбор салатов и горячих блюд  роллы с большим количеством начинки  есть детское меню  моим сыну и дочери очень нравятся наборы Чикен Кидс и Креветочный. Качество готовки здесь высокое. Рекомендую тут заказывать!!!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,4,Ролы вкусные. Но  единственная  ну или одна из немногих  доставка  не работающая по ВСЕМУ ГОРОДУ! Это большой минус. Немного пролили соус  лучше наливать его в бутылочки. На вопросы по е мейлу не отвечают.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",24.12.2022,5,Самые вкусные  свежие   большие. Умоляю никогда не становитесь как все  сначала хорошо   а потом плохо. Я не смогу без вашей доставки  спасибо вам
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.12.2022,5,Постоянно что то новое придумывают в Sushi Holl. То ролл с необычной начинкой  то комбо пиццу предложат. Мне кстати  такая идея по душе. Чтобы взять пиццу не с одной начинкой  а с разными. Крутая идея. Заказываю часто  всегда вкусно. В последнее время полюбил сырный ролл. Не помню как называется  но попробовать стоит всем. Ещё бы доставка работала мгновенно  было бы супер. Но я привык  заказываю на работу за час до обеда. Как раз к обеду и привозят.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",23.12.2022,5,Хорошие люди  плохой еды не готовят! Ребята  вы молодцы! Спасибо вам сердечное за вкусную еду  и быструю доставку. Ваши роллы изумительны  салат  Цезарь  с курицей превосходный  перечень блюд можно продолжить и дальше  Чувствуется  что в свою работу вы вкладываете душу. Желаю вашей компании процветания  вы дарите людям радость! Теперь я ваша постоянная клиентка  буду вас смело рекомендовать своим знакомым.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",22.12.2022,5,Понравилось как здесь готовят еду и работают  непременно буду заказывать еще. Позавчера я остался один с двумя детьми и решил по быстрому заказать что нибудь для перекуса. Нашел Sushi Holl в сети  заказал себе роллы Сурими Спайси  а детям   два пакета Чикен Кидс. Очень быстро привезли  спасибо. Всё было вкусно  а порции большими.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",21.12.2022,5,Раз воспользовались услугами сервиса и теперь мы постоянные клиенты  рады  что нашли место  где готовят вкусную еду и по очень доступной цене. Меню разнообразное  берем горячие блюда  салаты  порции большие  сытные  доставляют правда заказы только на определенную сумму  но мы заказываем обеды на работу  поэтому нам выгодно.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.12.2022,5,Очень нравится разнообразие еды  можно и пиццу и суши заказать и много чего другого  только недавно начала пользоваться вашей доставкой  но пока все нравится  еда вкусная и по нормальной цене Заказывал у вас как раз на свой день рождения  заказал комбо 3 пиццы для коллег из офиса  очень понравилось всем и главное стоило совсем недорого  будем пробовать еще.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Был косяк при первом заказе. Но компания я порядочная и ценит критику и своих клиентов. Сами всё исправили и привезли идеальные роллы. Рекомендую всем попробовать их горячие роллы очень вкусные!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",14.12.2022,5,Тамаго ролл предпочитаю. Определяю качество начинки по сливочному сыру. Здесь сыр великолепный. Нейтральный вкус без выраженного постороннего привкуса. Сливочный сыр классно сочетается с рыбкой. Заказываю часто  доставляют в течении часа. Сначала хотела набор заказать  но посмотрела на количество в нем и не стала. Если можно  сделайте наборы поменьше.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",13.12.2022,5,ВКУСНЫЕ СВЕЖИЕ БЫСТРАЯ ДОСТАВКА
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.12.2022,2,Заказывали в первый раз  итог сплошное разочарование. В 10 утра был сделан заказ на 20 00. Заказ привезли в 20 30  ссылаясь на то  что весь город в пробках  пробки были 2 балла... в итоге сами выпросили скидку и на этом спасибо. Но потом началось сплошное разочарование. Рыба не пахнет рыбой  цвет рыбы в филадельфии такой  что отродясь не видела  абсолютно все роллы разваливаются  запеченные ролы приехали  естественно холодными. На 6 роллов нашли два волоса  зато мы теперь знаем  что повара блондин и брюнет. Надо отметить  не все так плохо  васаби и имбирь  огонь. Удачи  конечно  но мы возвращаемся к тенно суши  тк тоже Филадельфия у них и дешевле и качеством в разы лучше.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.12.2022,5,Давно таких вкусных роллов не ел. Респект поварам.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",26.11.2022,5,Если вы лежите помирате с похмелье  закажите супчик  он приведет вас в норму и даст тонус на еще одну пьянку  вы будете бодры и полны сил  все понравилось  все вкусно  спасибо   
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",20.11.2022,5,Браво ребята!Филадельфия изумительная! 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.11.2022,1,Раньше лучше было. Сейчас очень взлетели цены  а качество стало хуже. Прозрачный кусочек рыбки видимо для красоты тут
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",11.11.2022,5,Хорошие суши  выглядят аппетитно  не разваливаются  доставка приехала вовремя.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",07.11.2022,5,Суши отличные
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,2,Роллы очень вкусные это наверное главное  являлись постоянными клиентами данной доставки долгое время  не смотря на частые опоздания. За последние полгода произошло много  очень много изменений  не в пользу клиента  цены выросли  значительно и несколько раз за год  роллы по размеру иногда привозят нормальные  иногда с вишенку    минимальная сумма заказа по Октябрьском району от 800р   к слову эта доставка в 10 минутах езды от нашего адреса!   акция  3 рыбки  теперь действует только при заказе от 1250    вечная путаница с промокодами  то они есть  то никакие промокоды не действуют  уже давно это слова оператора   на самом деле промокоды у одного оператора действуют и он их добавляет  у другого не действуют  при заказе от 800р ролл  Сяке маки  в подарок  6 штук     ролл  Аляска  не долго продержался в подарках при заказе от 1000р  теперь он при заказе от 1500р.Ещё раз   роллы вкусные  но изменения  не в качестве блюда  а в урезании лояльности к клиенту  к ПОСТОЯННОМУ КЛИЕНТУ  который замечает все эти изменения еженедельно  огорчают.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,1,         ..
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",18.10.2022,5,Плюсы  хорошее обслуживание  свежие продукты  интересные акции  приемлемые цены. Минусы  доставка только для заказов на определенную сумму  один пункт самовывоза  не всем удобно добираться  бывает долгое время ожидания в пятницу и субботу. Новая акция для детей  собери 5 купонов и обменяй их на Детский набор.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",17.10.2022,5,Очень вкусные суши. Заказали первый раз и такой успех! Свежие продукты  было видно  роллы приготовили и отправили  по акции в подарок была двойная пицца.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",15.10.2022,2,Заказали комбо пиццу  оформили самовывоз. Приехали к нужному времени  позвонили за10 минут до приезда. Прождали 20 минут  в итоге вынесли пиццу тупо подогретую. По внешнему виду видно  что состряпали давно сыр давно застывший.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",15.10.2022,4,Очень нравится кухня  хорошие порции  вкусно и интересно. Особенно роллы в тортильи с курицей или беконом  поскольку не ем морепродукты. Но с доставкой беда какая то. Немного опаздывает курьер. И по времени на синюшку   2 3 часа  это очень много  приходится отказываться от заказа. Ребят  доработайте этот момент  в остальном вы молодцы!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",15.10.2022,3,Кухня очень вкусная  всегда довольны. Но доставка часто опаздывает никаких извинений организация не приносит  . Ожидание долгое по 2 часа  сегодня сказали  что ожидание будет 3 часа. Не стали заказывать.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",14.10.2022,1,Сегодня закали роллы  первый раз в этом заведении  решили попробовать. Лучше бы мы этого не делали. Роллы полный отстой  одну треть кое как съели  были очень голодные вечером  остальные в мусорное ведро выбросили  при том что заказали пять видов. Начинка практически отсутствует  рис каша  васаби какой то химический неестественного цвета  ни разу такого не видели. Забирали самовывозом  крайне неудобное место для подъезда. Не рекомендуем заказывать здесь  качество отвратительное  для себя естественно вывод сделали  сюда больше ни ногой.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",07.10.2022,5,Вкусные суши тут.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",05.10.2022,5,Безумно нравится лава тут  я в восторге
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.10.2022,5,Вчера был день рождения у мужа  решили ничего не готовить  а просто заказать еду из ресторана. Выбрали этот ресторан  так как до этого уже ходили туда и все понравилось. Доставка не разочаровала. Все приехало горячее  вкусное и свежее  все довольны. Доставка  как мне показалось  достаточно быстрая  цены приемлемые. Спасибо за хороший вечер!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",30.09.2022,3,При заказе Нам положена была пицца в подарок  пиццу не положили  обломали   наверняка персонал сожрал  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",29.09.2022,5,Бывает  задерживаются с доставкой  но это  во первых  бывает только на выходные  когда понятное дело  перегруз  а во вторых  не так критично  потому что готовят действительно классно. Мы давнишние фанаты здешних роллов  а недавно переключились и на десерты. Торт Сникерс особенно понравился  да  калории зашкаливают  но зато как же вкусно! И ещё кое что отмечу и это самое главное  всё свежее  именно  что готовят перед доставкой  никаких подогретых  вчерашних блюд! Спасибо вам за вкуснятину! Заказывали и будем заказывать!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.09.2022,5,Приемлимые цены  обслуживание и качество. Спасибо!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.09.2022,5,Заказывала здесь суши с доставкой на дом. Доставили заказ точно в указанное время  без опозданий. Суши были очень вкусные  не такие  как в других местах  скорее всего приготовленные по какому то особенному рецепту. Размер порции достаточно большой  ребята не поскупились. Стоимость суши с доставкой вполне адекватная.
